Lambda;Node1 response time;Node2 response time;Node3 response time;Node4 response time;Node5 response time;Node6 response time;Node7 response time;Total response time
0,000000;0,003000;0,001220;0,003762;0,017644;0,060976;0,047561;0,128049;0,262211
0,100000;0,003001;0,001220;0,003764;0,017675;0,061350;0,047788;0,129710;0,264507
0,200000;0,003002;0,001220;0,003765;0,017706;0,061728;0,048018;0,131414;0,266854
0,300000;0,003003;0,001220;0,003767;0,017738;0,062112;0,048249;0,133164;0,269253
0,400000;0,003004;0,001220;0,003768;0,017769;0,062500;0,048483;0,134961;0,271706
0,500000;0,003005;0,001220;0,003769;0,017801;0,062893;0,048720;0,136808;0,274216
0,600000;0,003005;0,001220;0,003771;0,017833;0,063291;0,048958;0,138705;0,276784
0,700000;0,003006;0,001221;0,003772;0,017865;0,063694;0,049199;0,140656;0,279413
0,800000;0,003007;0,001221;0,003774;0,017897;0,064103;0,049442;0,142663;0,282106
0,900000;0,003008;0,001221;0,003775;0,017929;0,064516;0,049688;0,144728;0,284865
1,000000;0,003009;0,001221;0,003777;0,017961;0,064935;0,049936;0,146853;0,287692
1,100000;0,003010;0,001221;0,003778;0,017993;0,065359;0,050187;0,149042;0,290590
1,200000;0,003011;0,001221;0,003779;0,018026;0,065789;0,050440;0,151297;0,293563
1,300000;0,003012;0,001221;0,003781;0,018058;0,066225;0,050695;0,153621;0,296614
1,400000;0,003013;0,001222;0,003782;0,018091;0,066667;0,050954;0,156018;0,299746
1,500000;0,003014;0,001222;0,003784;0,018124;0,067114;0,051215;0,158491;0,302962
1,600000;0,003014;0,001222;0,003785;0,018157;0,067568;0,051478;0,161043;0,306267
1,700000;0,003015;0,001222;0,003787;0,018190;0,068027;0,051745;0,163679;0,309664
1,800000;0,003016;0,001222;0,003788;0,018223;0,068493;0,052014;0,166403;0,313159
1,900000;0,003017;0,001222;0,003789;0,018256;0,068966;0,052286;0,169218;0,316755
2,000000;0,003018;0,001222;0,003791;0,018289;0,069444;0,052561;0,172131;0,320457
2,100000;0,003019;0,001223;0,003792;0,018323;0,069930;0,052838;0,175146;0,324271
2,200000;0,003020;0,001223;0,003794;0,018357;0,070423;0,053119;0,178268;0,328203
2,300000;0,003021;0,001223;0,003795;0,018390;0,070922;0,053403;0,181504;0,332258
2,400000;0,003022;0,001223;0,003797;0,018424;0,071429;0,053689;0,184859;0,336443
2,500000;0,003023;0,001223;0,003798;0,018458;0,071942;0,053979;0,188341;0,340765
2,600000;0,003024;0,001223;0,003799;0,018492;0,072464;0,054272;0,191956;0,345231
2,700000;0,003024;0,001224;0,003801;0,018527;0,072993;0,054568;0,195713;0,349850
2,800000;0,003025;0,001224;0,003802;0,018561;0,073529;0,054868;0,199620;0,354629
2,900000;0,003026;0,001224;0,003804;0,018595;0,074074;0,055170;0,203686;0,359580
3,000000;0,003027;0,001224;0,003805;0,018630;0,074627;0,055477;0,207921;0,364711
3,100000;0,003028;0,001224;0,003807;0,018665;0,075188;0,055786;0,212336;0,370034
3,200000;0,003029;0,001224;0,003808;0,018700;0,075758;0,056099;0,216942;0,375560
3,300000;0,003030;0,001224;0,003810;0,018735;0,076336;0,056415;0,221753;0,381303
3,400000;0,003031;0,001225;0,003811;0,018770;0,076923;0,056736;0,226782;0,387277
3,500000;0,003032;0,001225;0,003813;0,018805;0,077519;0,057059;0,232044;0,393497
3,600000;0,003033;0,001225;0,003814;0,018841;0,078125;0,057387;0,237557;0,399981
3,700000;0,003034;0,001225;0,003815;0,018876;0,078740;0,057718;0,243337;0,406746
3,800000;0,003035;0,001225;0,003817;0,018912;0,079365;0,058053;0,249406;0,413813
3,900000;0,003036;0,001225;0,003818;0,018948;0,080000;0,058392;0,255786;0,421205
4,000000;0,003036;0,001225;0,003820;0,018984;0,080645;0,058735;0,262500;0,428946
4,100000;0,003037;0,001226;0,003821;0,019020;0,081301;0,059082;0,269576;0,437063
4,200000;0,003038;0,001226;0,003823;0,019056;0,081967;0,059433;0,277045;0,445588
4,300000;0,003039;0,001226;0,003824;0,019093;0,082645;0,059788;0,284939;0,454554
4,400000;0,003040;0,001226;0,003826;0,019129;0,083333;0,060148;0,293296;0,463998
4,500000;0,003041;0,001226;0,003827;0,019166;0,084034;0,060512;0,302158;0,473964
4,600000;0,003042;0,001226;0,003829;0,019203;0,084746;0,060880;0,311573;0,484498
4,700000;0,003043;0,001227;0,003830;0,019239;0,085470;0,061253;0,321593;0,495655
4,800000;0,003044;0,001227;0,003832;0,019277;0,086207;0,061631;0,332278;0,507495
4,900000;0,003045;0,001227;0,003833;0,019314;0,086957;0,062013;0,343699;0,520087
5,000000;0,003046;0,001227;0,003834;0,019351;0,087719;0,062400;0,355932;0,533510
5,100000;0,003047;0,001227;0,003836;0,019389;0,088496;0,062792;0,369069;0,547854
5,200000;0,003048;0,001227;0,003837;0,019426;0,089286;0,063189;0,383212;0,563225
