Lambda;Total response time
0,000000;0,262211
0,100000;0,264507
0,200000;0,266854
0,300000;0,269253
0,400000;0,271706
0,500000;0,274216
0,600000;0,276784
0,700000;0,279413
0,800000;0,282106
0,900000;0,284865
1,000000;0,287692
1,100000;0,290590
1,200000;0,293563
1,300000;0,296614
1,400000;0,299746
1,500000;0,302962
1,600000;0,306267
1,700000;0,309664
1,800000;0,313159
1,900000;0,316755
2,000000;0,320457
2,100000;0,324271
2,200000;0,328203
2,300000;0,332258
2,400000;0,336443
2,500000;0,340765
2,600000;0,345231
2,700000;0,349850
2,800000;0,354629
2,900000;0,359580
3,000000;0,364711
3,100000;0,370034
3,200000;0,375560
3,300000;0,381303
3,400000;0,387277
3,500000;0,393497
3,600000;0,399981
3,700000;0,406746
3,800000;0,413813
3,900000;0,421205
4,000000;0,428946
4,100000;0,437063
4,200000;0,445588
4,300000;0,454554
4,400000;0,463998
4,500000;0,473964
4,600000;0,484498
4,700000;0,495655
4,800000;0,507495
4,900000;0,520087
5,000000;0,533510
5,100000;0,547854
5,200000;0,563225
5,300000;0,579741
5,400000;0,597546
5,500000;0,616803
5,600000;0,637707
5,700000;0,660491
5,800000;0,685432
5,900000;0,712866
6,000000;0,743204
6,100000;0,776952
6,200000;0,814741
6,300000;0,857370
6,400000;0,905866
6,500000;0,961565
6,600000;1,026251
6,700000;1,102345
6,800000;1,193231
6,900000;1,303779
7,000000;1,441264
7,100000;1,617065
7,200000;1,850025
7,300000;2,173782
7,400000;2,654825
7,500000;3,445569
7,600000;4,989398
7,700000;9,349015
7,800000;105,220529
